State	Grant Number	Fiscal Year	Element Name	Grant Status	Obligation Amount	Grant Type	Sponsor Name	Project Description	Park Name	Park County	Park CD.	Park Total Acres
OH 	1,423	2015 	KIDZVILLE REPLACEMENT PROJECT 	A 	187,500.00	D 	CITY OF ZANESVILLE 	The city of Zanesville will utilize a Land and Water Conservation Fund grant to assist with improving Riverside Park by constructing a water park within the Kidzville area of the park. 	RIVERSIDE PARK 	MUSKINGUM 	12	  124.0
OH 	1,425	2015 	HIRAM VILLAGE MULTIUSE PARK IMPROVEMENTS 	A 	135,973.00	D 	VILLAGE OF HIRAM 	Hiram Village (Portage County) will utilize a Land and Water Conservation Fund grant to assist with installing a playground and resurfacing the parking lot and entrance area within the Village Park. 	HIRAM VILLAGE MULTIUSE PARK 	PORTAGE 	14	  5.2
OH 	1,426	2015 	KINSMAN TOWNSHIP PARK RESTROOM PROJECT 	A 	105,000.00	D 	KINSMAN TOWNSHIP 	Kinsman Township will utilize a Land and Water Conservation Fund grant to assist in constructing a structure housing an accessible restroom and a concession area. 	KINSMAN TOWNSHIP PARK 	TRUMBULL 	14	  9.8
OH 	1,427	2015 	BICENTENNIAL PARK SHELTERHOUSE 	A 	31,212.00	D 	VILLAGE OF MILFORD CENTER 	The village of Milford Center will utilize a Land and Water Conservation Fund grant to assist in constructing a shelter house within Bicentennial Park. 	BICENTENNIAL PARK 	UNION 	4	  4.1
OH 	1,428	2015 	BRIDGE TO MOONVILLE TUNNEL 	A 	77,500.00	D 	VINTON COUNTY 	The Vinton County Commissioners will utilize a Land and Water Conservation Fund grant to assist with installing a recycled bridge for recreational trail access to the Moonville Tunnel, a former railroad tunnel. The repurposed roadway bridge will be placed across a creek on existing railroad abutments which will allow trail access through the Moonville Tunnel. The project is part of southeast Ohio rail-trail network. 	MOONVILLE RAIL TRAIL 	VINTON 	15	  140.6
OK 	1,208	2015 	PADEN PARK BASKETBALL COURT 	A 	19,721.00	D 	TOWN OF PADEN 	The town of Paden (Okfuskee County) will construct a basketball court at Paden Park. The new court will be located in the park’s northeast corner near the restrooms and drinking fountain. Paden’s population is 446, predominantly Native American. 	PADEN PARK 	OKFUSKEE 	2	  32.0
OK 	1,209	2015 	HUB REED BASEBALL FIELD #2 	A 	137,754.00	D 	CITY OF EL RENO 	The city of El Reno (Canadian County) will construct a baseball field at Adams Park. The grant scope includes site preparation, dugouts, fencing, an irrigation system, and lighting. 	ADAMS PARK 	Canadian 	3	  39.5
OK 	1,210	2015 	STILWELL PROVIDES LAUGHS AND SMILES HERE (SPLASH) 	A 	200,000.00	D 	CITY OF STILWELL 	The city of Stilwell will utilize a Land and Water Conservation Fund grant to assist with the construction of a splash pad, restroom facility, and shade structures at Edna M. Carson-Stilwell Community Park. The grant scope also includes fencing, equipment, and site furnishings. 	EDNA M. CARSON - STILWELL COMMUNITY PARK 	ADAIR 	2	  66.0
OK 	1,211	2015 	LAKE GENE MURRAY PARK DEVELOPMENT PROJECT 	A 	80,000.00	D 	CITY OF GRANDFIELD 	The city of Grandfield (Tillman County) will construct a new restroom and undertake lake renovation (e.g., PVC piping for the primary spillway, geotextile, filter material, and rip-rap for the restoration of the lake dam). 	LAKE GENE MURRAY PARK 	TILLMAN 	4	  48.0
OK 	1,212	2015 	LIBERTY PARK OUTDOOR COURTS AND DISK GOLF COURSE 	A 	13,440.00	D 	CITY OF SAPULPA 	The city of Sapulpa (Creek County) will construct a 9-hole disk golf course and renovate and resurface the basketball and tennis courts at Liberty Park. 	LIBERTY PARK 	Creek 	3	  14.0
OK 	1,213	2015 	SAPULPA COMMUNITY DOG PARK 	A 	54,453.00	D 	CITY OF SAPULPA 	The city of Sapulpa (Creek County) will develop a dog park at Kelly Lane Park. The grant scope includes perimeter fencing for two separated dog play areas (large and small dogs), a 16’ x 16’ shade shelter, park benches, picnic tables, a new parking lot, bi-level water fountains with dog bowls, miscellaneous dog toys and accessories, a Syber-tech waste collection system, dog waste stations with bag dispensers, and signs. 	KELLY LANE PARK 	Creek 	3	  37.0
OK 	1,214	2015 	HOLLIS POOL RENOVATION 	A 	87,500.00	R 	CITY OF HOLLIS 	The city of Hollis (Harmon County) will renovate the swimming pool at Hollis Park. 	HOLLIS PARK 	HARMON 	3	  0.8
OK 	1,215	2015 	CORDELL SWIMMING POOL 	A 	53,395.00	R 	CITY OF CORDELL 	The city of Cordell (Washita County) will renovate the swimming pool bathhouse and parking lot at Cordell City Park. The grant scope includes bathhouse roof repair, accessible parking construction, accessible route to the bathhouse, bathhouse electrical system repair, and swimming pool overhead lighting repairs. 	CORDELL CITY PARK 	Washita 	3	  2.5
OK 	1,216	2015 	MEDFORD TOT LOT 	A 	18,402.00	D 	CITY OF MEDFORD 	The city of Medford (Grant County) will construct an accessible playground at Medford Park. The new playground will be designed primarily for children ten and younger with an emphasis on children ages 2-5. 	MEDFORD CITY PARK 	Grant 	3	  2.0
OK 	1,217	2015 	RANCHWOOD PARK IMPROVEMENTS 	A 	67,228.00	R 	CITY OF YUKON 	The city of Yukon (Canadian County) will remove and replace a restroom facility at Ranchwood Park. 	RANCHWOOD PARK 	Canadian 	3	  10.0
OR 	1,591	2015 	SUE H. ELMORE WATER TRAILHEAD FACILITY 	A 	182,095.53	R 	CITY OF TILLAMOOK 	Rehabilitation of water trailhead facility including tiered boat launch, railings, covered structure, wash station, picnic tables, sidewalks, parking, landscaping, engineering, environmental management, permits and indirect rate.  	SUE H. ELMORE PARK 	Tillamook 	5	  0.7
OR 	1,592	2015 	MLK, JR. PARK FACILITY UPGRADES AND DEVELOPMENT 	A 	201,765.25	D 	CITY OF CORVALLIS 	Park rehabilitation including site preparation/excavation, barn/picnic shelter improvements, play equipment, accessible surfacing, landscaping, site amenities, patios, pathways, design and engineering and indirect rate.  	MARTIN LUTHER KING, JR. PARK 	BENTON 	4	  29.0
OR 	1,593	2015 	THOMAS CULLY PARK DEVELOPMENT 	A 	500,000.00	D 	CITY OF PORTLAND 	Development of Thomas Cully Park including inter-tribal gathering garden, habitat restoration, off-leash dog area, overlooks, playground, walking trails with exercise equipment, soccer field and indirect rate.  	THOMAS CULLY PARK 	MULTNOMAH 	3	  25.0
PA 	1,580	2015 	Mount Joy Township Old Trolley Line Park - Phase I 	A 	300,000.00	D 	Mount Joy Township 	Mount Joy Township will develop two softball fields, a multi-purpose field, trails, parking, landscaping, and other site improvements. 	Old Trolley Line Park  	LANCASTER 	16	  46.8
PA 	1,581	2015 	West Middlesex Community Recreation Complex Rehab 	A 	200,000.00	R 	West Middlesex Area School Distirct 	West Middlesex Area School District. Community Recreation Complex. The project will rehabilitate 3 ballfields, new bleachers, dugouts and backstops, new comfort station, parking, landscaping and site improvements. 	WEST MIDDLESEX Community Recreation Complex 	Mercer 	3	  9.5
PA 	1,582	2015 	Wissinoming Park Development 	A 	300,000.00	R 	City of Philadelphia 	Install new playground equipment, a spray pool, picnic area, trails/paths/walkways, site improvements, and landscaping. 	Wissinoming Park 	PHILADELPHIA 	1	  42.8
PA 	1,583	2015 	Scott Park 	A 	413,200.00	R 	Scott Township 	A new synthetic ice rink, ADA accessible playground, walkways, landscaping and site improvements will be constructed at Scott Park. 	SCOTT PARK 	Allegheny 	18	  31.5
PA 	1,584	2015 	Grange Road Park Improvements 	A 	266,800.00	R 	Upper Macungie Township 	Develop a water splash park, four multipurpose fields, parking, bike lane, roadways, landscaping and site improvements. 	Grange Road Park 	LEHIGH 	15	  59.9
PA 	1,585	2015 	Pendora Park Playground Development 	A 	250,000.00	R 	City of Reading 	Will include a new and upgrade tot lot/playground area, spray water pad, safety surface, site improvements and landscaping. 	Pendora Park 	BERKS 	16	  12.9
SD 	1,457	2015 	DEADWOOD GORDON PARK PLAYGROUND UPGRADE 	A 	42,820.00	D 	CITY OF DEADWOOD 	The city of Deadwood will utilize a Land and Water Conservation Fund grant to assist in improving Gordon Park by replacing the outdated playground equipment with current industry standard playground equipment and adding rubberized poured in place safety surfacing under the new playground equipment. 	GORDON PARK 	Lawrence 	0	  1.6
SD 	1,458	2015 	EUREKA BASEBALL COMPLEX IMPROVEMENTS 	A 	42,820.00	D 	CITY OF EUREKA 	The city of Eureka (McPherson County) will utilize a Land and Water Conservation Fund grant to assist with improvements to the Baseball Complex at Eureka City Park. The grant scope includes replacing the storm damaged lights and the chain link fence in front of the player dugouts. 	EUREKA CITY PARK 	MCPHERSON 	0	  63.0
SD 	1,459	2015 	HARTFORD WADING POOL RECONSTRUCTION 	A 	42,820.00	D 	CITY OF HARTFORD 	The city of Hartford (Minnehaha County) will utilize a Land and Water Conservation Fund grant to assist with improving the wading pool at Hartford City Park. The replacement pool will feature zero depth entry as well as several water features and is designed for water and energy conservation.  	HARTFORD CITY PARK 	Minnehaha 	0	  12.0
SD 	1,460	2015 	HURON CROWN PARK PLAYGROUND 	A 	12,240.00	D 	CITY OF HURON 	The city of Huron (Beadle County) will utilize a Land and Water Conservation Fund grant to assist in purchasing and installing modern playground equipment with safety surfacing at Crown Park. 	CROWN PARK 	BEADLE 	0	  1.0
SD 	1,461	2015 	LENNOX - WESTERMAN PARK LAND ACQUISITION 	A 	42,820.00	A 	CITY OF LENNOX 	The city of Lennox (Lincoln County) will utilize a Land and Water Conservation Fund grant to assist with the acquisition of 6.75 acres of adjacent land which will be added to Westerman Park. Acquisition of this property will enable the relocation of 2 baseball fields which will open space for the construction of a new municipal swimming pool. 	WESTERMAN PARK 	Lincoln 	0	  21.0
SD 	1,462	2015 	PARKSTON EAST PARK PLAYGROUND REPLACEMENT 	A 	30,750.00	D 	CITY OF PARKSTON 	The city of Parkston (Hutchinson County) will utilize a Land and Water Conservation Fund grant to assist with improving the playground at East Park. The grant scope includes removing unsafe and outdated playground equipment and replacing with new equipment that meets current accessibility and safety standards. 	EAST PARK 	HUTCHINSON 	0	  16.0
SD 	1,463	2015 	PLANKINTON EAST SIDE PARK PLAYGROUND REPLACEMENT 	A 	32,849.00	D 	CITY OF PLANKINTON 	The city of Plankinton (Aurora County) will utilize a Land and Water Conservation Fund grant to assist with improving the playground at East Side Park. The grant scope includes removing unsafe and outdated playground equipment and replacing with new equipment that meets current accessibility and safety standards. 	EAST SIDE PARK 	AURORA 	0	  2.0
SD 	1,464	2015 	SALEM PLAYGROUND RENOVATION 	A 	42,820.00	D 	CITY OF SALEM 	The city of Salem (McCook County) will utilize a Land and Water Conservation Fund grant to assist with improving the playground at Salem City Park. The grant scope includes removing unsafe and outdated playground equipment and replacing with new equipment that meets current accessibility and safety standards. 	SALEM CITY PARK 	McCook 	0	  3.9
SD 	1,465	2015 	TYNDALL - WEST SIDE PARK COURT RESURFACING 	A 	22,256.00	D 	CITY OF TYNDALL 	The city of Tyndall (Bon Homme County) will utilize a Land and Water Conservation Fund grant to assist with improving West Side Park by removing and replacing the concrete surface on the tennis and basketball courts. 	WEST SIDE PARK 	Bon Homme 	0	  17.2
SD 	1,466	2015 	WAGNER CHAPMAN PARK PLAYGROUND REPLACEMENT 	C 	42,820.00	D 	CITY OF WAGNER 	The city of Wagner (Charles Mix County) will utilize a Land and Water Conservation Fund grant to assist with improving the playground at Chapman Park. The grant scope includes removing unsafe and outdated playground equipment and replacing with new equipment that meets current accessibility and safety standards. 	CHAPMAN PARK 	CHARLES MIX 	0	  13.0
SD 	1,467	2015 	YANKTON RIVERSIDE PARK PLAYGROUND REPLACEMENT 	A 	42,820.00	D 	CITY OF YANKTON 	The city of Yankton (Yankton County) will utilize a Land and Water Conservation Fund grant to assist with improving the playground at Riverside Park. The grant scope includes removing unsafe and outdated playground equipment and replacing with new equipment that meets current accessibility and safety standards. 	RIVERSIDE PARK 	YANKTON 	0	  32.0
TN 	831	2015 	CUMBERLAND TRAIL BRIDGES AND TRAIL 	A 	715,482.00	C 	TENNESSEE DEPARTMENT OF ENVIRONMENT AND CONSERVATION 	Develop pedestrian bridges and trail in the Cumberland Trail State Park and acquire approximately 191.5 acres and engineering. 	CUMBERLAND TRAIL STATE PARK 	Campbell 	3	  316.0
TX 	1,132	2015 	BUSBY PARK - HOUSTON 	A 	830,000.00	D 	CITY OF HOUSTON 	The city of Houston (Harris County) will improve the 5.83-acre Busby Park. The grant scope includes two new playgrounds, a large multi-use practice field with back stop and soccer goals, community and rain gardens, a prairie habitat area, an outdoor exercise equipment station, a half mile loop walking trail, a half basketball court, a seating plaza with specialty paving, picnic tables, benches and trash cans, a picnic shelter with grill, perimeter fencing, site lighting, landscaping with native trees and plants, and a drip irrigation system. The scope also includes design and construction services, demolition of all concrete areas, and site preparation and grading. Busby Park is located within the Trinity-Houston Gardens and Kashmere Gardens neighborhoods, two of Houston’s poorest neighborhoods. 	BUSBY PARK 	HARRIS 	18	  5.8
TX 	1,133	2015 	ALLEN - WATTERS BRANCH COMMUNITY PARK 	A 	400,000.00	C 	CITY OF ALLEN 	The city of Allen (Collin County) will utilize a Land and Water Conservation Fund grant to assist with the acquisition and development of Watters Branch Community Park. The grant scope includes acquisition of 50 acres (by donation) adjacent to 25 acres of city owned land which will become the 75-acre Watters Branch Community Park. Development will include 1,000 feet of ten-foot wide exercise trail, an adult softball field, a nature playground with safety surfacing, benches, and interpretive signage. The nature play area will be the first of its kind in the City. 	WATTERS BRANCH COMMUNITY PARK 	COLLIN 	3	  75.0
TX 	1,134	2015 	TPWD - BASTROP STATE PARK VII 	A 	342,500.00	A 	TX. PARKS AND WILDLIFE 	The Texas Parks and Wildlife Department will acquire 110.59 acres in two tracts as an addition to Bastrop State Park in Bastrop County. The Pohl tract comprises 77.59 acres located on the southeast side of the park and consisting of native "lost pine" habitat, native and improved pastures, and a 4.5 acre pond. This site also includes endangered species habitat for the Houston Toad (Bufo houstonensis). The Volz tract comprises 33 acres located on the northwest side of the park and consisting of native "lost pine" habitat and ecologically significant Pine-Oaks Woodlands. 	BASTROP STATE PARK 	Bastrop 	15	  6,367.9
UT 	384	2015 	PARADISE SPORTS PARK 	A 	80,000.00	D 	PARADISE TOWN 	The town of Paradise (Cache County) will improve the Paradise Sport Park by constructing a restroom/group use pavilion, a family picnic area, and a maintenance shed. 	PARADISE SPORTS PARK 	CACHE 	1	  8.5
UT 	385	2015 	MILLCREEK PARK 	A 	100,000.00	D 	CITY OF ST. GEORGE 	The city of St. George will create the 4.94-acre Millcreek Park by constructing a pavilion, restrooms, a playground, a walking path, landscaping, and parking. 	MILLCREEK PARK 	WASHINGTON 	2	  4.9
UT 	386	2015 	CORY B. WRIDE MEMORIAL PARK 	A 	289,010.00	D 	EAGLE MOUNTAIN CITY 	Eagle Mountain City will add lighting to the Cory B. Wride Memorial Park covering the quad-plex baseball/softball fields, the parking area, the walkways, and the primary park entrance. 	CORY B. WRIDE MEMORIAL PARK 	UTAH 	4	  20.7
VA 	438	2015 	KENSLEE HILL SPRINGDALE REGIONAL PARK 	A 	398,440.53	A 	NORTHERN VIRGINIA PARK AUTHORITY 	The NVRPA is requestiing LWCF assistance to acquire 116.51+ acres of property along the Potomac River in Leesburg, VA for development into a regional park. 	Springdale Regional Park 	LOUDOUN 	10	  116.5
